id;latitud;longitud;nombre;variable;unidades;subcuenca;estado;datoActual;datoTotal;municipioNombre;estadoInt;estadoInternal
192;38.93553111677101;-0.2470896377816048;Rótova, río Vernissa;9O03AA01MVCR;l/m<sup>2</sup>;3;ESTADO_DESCONOCIDO;0.0;;Rótova;0;ESTADO_DESCONOCIDO
341;38.93553111677101;-0.2470896377816048;Rótova, río Vernissa;9O03DQG4MVVR;m³/s;3;ESTADO_DESCONOCIDO;0.0;;Rótova;0;ESTADO_DESCONOCIDO
348;39.99829274102012;-0.2309517845706203;Salto del Colmenar;1E09DQG1MVVR;m³/s;0;ESTADO_DESCONOCIDO;1.655;;Onda;0;ESTADO_DESCONOCIDO
109;40.10298158560136;-1.5056982784664084;Salvacañete;5N03BA01MVCR;l/m<sup>2</sup>;7;ESTADO_DESCONOCIDO;0.0;;Salvacañete;0;ESTADO_DESCONOCIDO
89;39.85215660536543;-2.2881968668461194;San Lorenzo de la Parrilla;4A02AA01MVCR;l/m<sup>2</sup>;7;ESTADO_DESCONOCIDO;0.0;;San Lorenzo de la Parrilla;0;ESTADO_DESCONOCIDO
302;39.85215660536543;-2.2881968668461194;San Lorenzo de la Parrilla;4A02DQG1MVVR;m³/s;7;ESTADO_DESCONOCIDO;13.638;;San Lorenzo de la Parrilla;0;ESTADO_DESCONOCIDO
48;39.95337240849819;-0.09608143411131241;Santa Quiteria;1E07AA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Vila-Real;0;ESTADO_DESCONOCIDO
289;39.95337240849819;-0.09608143411131241;Santa Quiteria;1E07DQG4MVVR;m³/s;0;ESTADO_DESCONOCIDO;2.091;;Vila-Real;0;ESTADO_DESCONOCIDO
53;40.30021337589807;0.031067809157115444;Sarratella;1N05BA01MVCR;l/m<sup>2</sup>;8;ESTADO_DESCONOCIDO;0.0;;Sarratella;0;ESTADO_DESCONOCIDO
186;38.58032250429346;-0.8150139528666508;Sax;8P10AA01MVCR;l/m<sup>2</sup>;2;ESTADO_DESCONOCIDO;0.0;;Sax;0;ESTADO_DESCONOCIDO
